center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
Ses01F_impro01_F000,pad,pad,neu,pad,pad,None,None,1,None,None
Ses01F_impro01_F005,Ses01F_impro01_F004,Ses01F_impro01_M003,neu,xxx,fru,2,1,1,6.1343,3.990000000000002
Ses01F_impro01_F012,Ses01F_impro01_F011,Ses01F_impro01_M010,ang,fru,fru,2,1,1,12.819999999999993,3.6799999999999926
Ses01F_impro01_F014,Ses01F_impro01_F013,Ses01F_impro01_M012,neu,fru,xxx,2,1,1,4.219999999999999,2.030000000000001
Ses01F_impro01_M013,Ses01F_impro01_M012,Ses01F_impro01_F014,ang,xxx,neu,2,1,1,5.980000000000004,3.950000000000003
Ses01F_impro02_F000,pad,pad,sad,pad,pad,None,None,1,None,None
Ses01F_impro02_F003,Ses01F_impro02_F002,Ses01F_impro02_M001,neu,sad,sad,1,2,1,5.741599999999998,5.741599999999998
Ses01F_impro02_F004,Ses01F_impro02_F003,Ses01F_impro02_M002,sad,neu,xxx,2,1,1,15.032500000000006,8.490000000000002
Ses01F_impro02_F006,Ses01F_impro02_F005,Ses01F_impro02_M004,neu,sad,xxx,2,1,1,5.5049999999999955,2.5049999999999955
Ses01F_impro02_M005,Ses01F_impro02_M004,Ses01F_impro02_F006,sad,xxx,neu,2,1,1,7.590000000000003,5.085000000000008
Ses01F_impro02_F008,Ses01F_impro02_F007,Ses01F_impro02_M006,sad,xxx,xxx,2,1,1,14.813100000000006,7.173100000000005
Ses01F_impro02_F010,Ses01F_impro02_F009,Ses01F_impro02_M006,sad,xxx,xxx,1,3,1,6.390000000000001,6.390000000000001
Ses01F_impro02_M009,Ses01F_impro02_M008,Ses01F_impro02_F011,sad,fru,xxx,1,2,1,3.6122000000000014,3.6122000000000014
Ses01F_impro02_M012,Ses01F_impro02_M011,Ses01F_impro02_F014,neu,sad,sad,2,1,1,13.150000000000006,8.0
Ses01F_impro02_F016,Ses01F_impro02_F015,Ses01F_impro02_M013,neu,sad,sad,2,1,1,12.117899999999992,5.560000000000002
